urls,category,keyword1,freq1,keyword2,freq2,keyword3,freq3,keyword4,freq4,keyword5,freq5,keyword6,freq6,keyword7,freq7,keyword8,freq8,keyword9,freq9,keyword10,freq10
http://leaksndi6i6m2ji6ozulqe4imlrqn6wrgjlhxe25vremvr3aymm4aaid.onion/,leak,,,,,,,,,,,,,,,,,,,,
https://ransomed.biz/,leak,ransomedvc,3,kixat,3,shopping,3,wire,2,rvcadmin,2,looking,2,affiliates,2,company,2,unyleya,2,quality,2
http://izsp6ipui4ctgxfugbgtu65kzefrucltyfpbxplmfybl5swiadpljmyd.onion/,leak,,,,,,,,,,,,,,,,,,,,
http://tp5cwh6d2b5hekcg6jlhoe6mawa7dlwiv47epvnfmzuaaur2dnaa3uid.onion/,leak,download,18,security,18,data,14,files,12,beenhere,10,published,10,place,10,https,9,downloaded,8,licenses,6
http://5butbkrljkaorg5maepuca25oma7eiwo6a2rlhvkblb4v6mf3ki2ovid.onion/#list,leak,download,84,published,77,file,43,views,42,hour,42,minute,42,https,39,services,33,company,29,information,25
http://direwolfcdkv5whaz2spehizdg22jsuf5aeje4asmetpbt6ri4jnd4qd.onion/,leak,dire,3,wolf,3,home,1,contact,1,loading,1,articles,1,leak,1,site,1,rights,1,reserved,1
http://lockbit4lahhluquhoka3t4spqym2m3dhe66d6lr337glmnlgg2nndad.onion/,leak,,,,,,,,,,,,,,,,,,,,
https://www.ransomware.live/,leak,date,132,discovery,100,generated,36,attack,33,estimated,32,company,20,safepay,18,based,14,global,13,group,12
http://pdcizqzjitsgfcgqeyhuee5u6uki6zy5slzioinlhx6xjnsw25irdgqd.onion,leak,,,,,,,,,,,,,,,,,,,,
http://vmjfieomxhnfjba57sd6jjws2ogvowjgxhhfglsikqvvrnrajbmpxqqd.onion,leak,handala,11,uncategorized,10,iran,9,hacked,8,international,7,telegram,6,official,5,internal,5,media,4,channel,4
http://orca66hwnpciepupe5626k2ib6dds6zizjwuuashz67usjps2wehz4id.onion,leak,,,,,,,,,,,,,,,,,,,,
http://bashete63b3gcijfofpw6fmn3rwnmyi5aclp55n6awcfbexivexbhyad.onion,leak,,,,,,,,,,,,,,,,,,,,
http://47glxkuxyayqrvugfumgsblrdagvrah7gttfscgzn56eyss5wg3uvmqd.onion,leak,,,,,,,,,,,,,,,,,,,,
https://worldleaksartrjm3c6vasllvgacbi5u3mgzkluehrzhk2jz4taufuid.onion/companies/7802061314,leak,,,,,,,,,,,,,,,,,,,,
http://termiteuslbumdge2zmfmfcsrvmvsfe4gvyudc5j6cdnisnhtftvokid.onion/,leak,termite,1,,,,,,,,,,,,,,,,,,
http://silentbgdghp3zeldwpumnwabglreql7jcffhx5vqkvtf2lshc4n5zid.onion/,leak,silent,1,blog,1,,,,,,,,,,,,,,,,
http://twniiyed6mydtbe64i5mdl56nihl7atfaqtpww6gqyaiohgc75apzpad.onion/,leak,,,,,,,,,,,,,,,,,,,,
http://imncrewwfkbjkhr2oylerfm5qtbzfphhmpcfag43xc2kfgvluqtlgoid.onion/,leak,download,20,click,10,link,10,data,10,health,9,company,7,industry,6,home,6,founded,5,city,5
http://gunrabxbig445sjqa535uaymzerj6fp4nwc6ngc2xughf2pedjdhk4ad.onion/,leak,data,14,industry,14,location,13,https,11,information,5,company,5,public,4,financial,4,business,3,datos,3
http://z3wqggtxft7id3ibr7srivv5gjof5fwg76slewnzwwakjuf3nlhukdid.onion/blog,leak,publicated,24,files,24,click,24,open,24,july,18,united,18,states,17,brown,10,company,7,including,6
http://lockbit7z4ndl6thsct34yd47jrzdkpnfg3acfvpacuccb45pnars2ad.onion/,leak,corp,6,comune,3,june,3,october,3,group,3,twitter,2,bitcoin,2,contact,2,press,2,affiliate,2
http://om6q4a6cyipxvt7ioudxt24cw4oqu4yodmqzl25mqd2hgllymrgu4aqd.onion/,leak,open,9,secret,5,blueprints,5,disneyland,3,casino,3,fullinfo,3,anubis,2,english,2,paris,2,confidential,2
http://sarcomawmawlhov7o5mdhz4eszxxlkyaoiyiy2b5iwxnds2dmb4jakad.onion/,leak,industry,27,contains,22,site,20,info,20,archive,20,leak,20,size,20,files,19,download,17,link,17
http://j3dp6okmaklajrsk6zljl5sfa2vpui7j2w6cwmhmmqhab6frdfbphhid.onion/,leak,download,332,listing,261,data,249,revenue,234,million,234,view,179,rtblegal,4,losolivos,4,gmbh,4,foyernotredamedepaix,4
http://rnsmwareartse3m4hjsumjf222pnka6gad26cqxqmbjvevhbnym5p6ad.onion/,leak,info,9,management,4,harvest,3,years,3,gilbert,3,wares,2,software,2,company,2,specialized,2,supply,2
http://rhysidafohrhyy2aszi7bm32tnjat5xri65fopcxkdfxhi4tidsg7cad.onion/,leak,contact,5,rhysida,4,email,4,please,4,send,4,news,4,onionmail,4,company,3,form,3,token,2
http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/,leak,company,25,files,23,photos,20,learn,20,services,6,login,5,family,5,door,4,based,4,years,4
http://nitrogenczslprh3xyw6lh5xyjvmsz7ciljoqxxknd7uymkfetfhgvqd.onion,leak,https,29,dump,29,read,29,company,16,services,15,solutions,15,products,13,including,10,range,9,industries,8
http://mydatae2d63il5oaxxangwnid5loq2qmtsol2ozr6vtb7yfm5ypzo6id.onion/blog,leak,please,1,later,1,,,,,,,,,,,,,,,,
http://lynxblogco7r37jt7p5wrmfxzqze7ghxw6rihzkqc455qluacwotciyd.onion/leaks,leak,lynx,1,,,,,,,,,,,,,,,,,,
http://lockbit7z2jwcskxpbokpemdxmltipntwlkmidcll2qirbu7ykg46eyd.onion/,leak,corp,6,comune,3,june,3,october,3,group,3,twitter,2,bitcoin,2,contact,2,press,2,affiliate,2
http://krakenccj3wr23452a4ibkbkuph4d6soyx2xgjoogtuamc3m7u7wemad.onion/,leak,details,15,http,7,onion,7,leak,3,humac,3,kraken,2,blog,2,mada,2,provider,2,optyma,2
http://incblog6qu4y4mm4zvw5nrmue6qbwtgjsxpw6b7ixzssu36tsajldoad.onion/blog/disclosures/67f4f6f0516e69ca615e9bf1,leak,null,1,,,,,,,,,,,,,,,,,,
http://embargobe3n5okxyzqphpmk3moinoap2snz5k6765mvtkk7hhi544jid.onion/#/,leak,embargo,1,need,1,enable,1,javascript,1,,,,,,,,,,,,
http://34o4m3f26ucyeddzpf53bksy76wd737nf2fytslovwd3viac3by5chad.onion/leaks,leak,frag,1,blog,1,,,,,,,,,,,,,,,,
http://blogvl7tjyjvsfthobttze52w36wwiz34hrfcmorgvdzb6hikucb7aqd.onion/news.php?page=1,leak,news,1,need,1,enable,1,javascript,1,,,,,,,,,,,,
http://z6wkgghtoawog5noty5nxulmmt2zs7c3yvwr22v4czbffdoly2kl4uad.onion/,leak,uncategorized,12,published,11,categorized,11,files,11,information,9,data,7,price,7,descriptionemployee,6,customer,6,email,6
http://j5o5y2feotmhvr7cbcp2j2ewayv5mn5zenl3joqwx67gtfchhezjznad.onion/,leak,data,1,leak,1,site,1,,,,,,,,,,,,,,
http://ciphbitqyg26jor7eeo6xieyq7reouctefrompp6ogvhqjba7uo4xdid.onion/,leak,,,,,,,,,,,,,,,,,,,,
http://hptqq2o2qjva7lcaaq67w36jihzivkaitkexorauw7b2yul2z6zozpqd.onion/list,leak,chaos,1,,,,,,,,,,,,,,,,,,
http://yrz6bayqwhleymbeviter7ejccxm64sv2ppgqgderzgdhutozcbbhpqd.onion/,leak,learn,13,updated,13,company,7,data,7,business,6,offer,6,solutions,5,sunlux,5,support,4,brazil,4
